"SECONDS";"PID";"VALUE";"UNITS";
"36099.6019245";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36099.6019245";"Eingangsspannung Steuergerät";"14.14";"V";
"36099.6019245";"Gaspedalstellung D";"12.549019607843137";"%";
"36099.6019245";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36099.6019245";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.875";"V";
"36099.6019245";"Motordrehzahl";"1335";"rpm";
"36099.6019245";"Motordrehzahl x1000";"1.3";"rpm";
"36099.6019245";"Zündzeitpunkt";"5";"°";
"36099.9465669";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36099.9465669";"Eingangsspannung Steuergerät";"14.218";"V";
"36099.9465669";"Gaspedalstellung D";"12.549019607843137";"%";
"36099.9465669";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36099.9465669";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.875";"V";
"36099.9465669";"Motordrehzahl";"1358";"rpm";
"36099.9465669";"Motordrehzahl x1000";"1.4";"rpm";
"36099.9465669";"Zündzeitpunkt";"5";"°";
"36100.1437073";"Lufteintrittstemperatur";"19";"℃";
"36100.2468455";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36100.2468455";"Eingangsspannung Steuergerät";"14.062";"V";
"36100.2468455";"Gaspedalstellung D";"12.549019607843137";"%";
"36100.2468455";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36100.2468455";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36100.2468455";"Motordrehzahl";"1342";"rpm";
"36100.2468455";"Motordrehzahl x1000";"1.3";"rpm";
"36100.2468455";"Zündzeitpunkt";"5";"°";
"36100.4261488";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36100.4261488";"Eingangsspannung Steuergerät";"14.062";"V";
"36100.4261488";"Gaspedalstellung D";"12.549019607843137";"%";
"36100.4261488";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36100.4261488";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36100.4261488";"Motordrehzahl";"1321";"rpm";
"36100.4261488";"Motordrehzahl x1000";"1.3";"rpm";
"36100.4261488";"Zündzeitpunkt";"5";"°";
"36100.7385093";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36100.7385093";"Eingangsspannung Steuergerät";"14.14";"V";
"36100.7385093";"Gaspedalstellung D";"12.549019607843137";"%";
"36100.7385093";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
"36100.7385093";"Lambdasonde Sensor 1 Bank 1 Spannung";"0.895";"V";
"36100.7385093";"Motordrehzahl";"1317";"rpm";
"36100.7385093";"Motordrehzahl x1000";"1.3";"rpm";
"36100.7385093";"Zündzeitpunkt";"5";"°";
"36100.9006567";"Abs. Drosselklappenstellung";"14.509803921568627";"%";
"36100.9006567";"Eingangsspannung Steuergerät";"14.218";"V";
"36100.9006567";"Gaspedalstellung D";"12.549019607843137";"%";
"36100.9006567";"Lambdasonde Sensor 1 Bank 1 Kurzfristige Kraftstofftrimmung";"0";"%";
